Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-DDB3","OpenClawTokenMonitoring/TokenUsageTable/Resource","Compliant","N/A","Warning","The DynamoDB table does not have Point-in-time Recovery enabled."
"AwsSolutions-IAM4","OpenClawTokenMonitoring/TokenMetricsFunction/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole is the AWS-recommended managed policy for Lambda functions to write to CloudWatch Logs. See https://docs.aws.amazon.com/lambda/latest/dg/lambda-intro-execution-role.html","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawTokenMonitoring/TokenMetricsFunction/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawTokenMonitoring/TokenMetricsFunction/ServiceRole/DefaultPolicy/Resource","Suppressed","DynamoDB index/* wildcard is generated by CDK grant_read_write_data() and is scoped to the specific table's GSIs. cloudwatch:PutMetricData wildcard is constrained by the cloudwatch:namespace condition to OpenClaw/TokenUsage only.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawTokenMonitoring/TokenMetricsFunction/ServiceRole/DefaultPolicy/Resource","Suppressed","DynamoDB index/* wildcard is generated by CDK grant_read_write_data() and is scoped to the specific table's GSIs. cloudwatch:PutMetricData wildcard is constrained by the cloudwatch:namespace condition to OpenClaw/TokenUsage only.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","OpenClawTokenMonitoring/TokenMetricsFunction/Resource","Suppressed","Python 3.12 is the latest stable runtime available in all regions. Will upgrade to 3.13 when broadly available in Lambda.","Error","The non-container Lambda function is not configured to use the latest runtime version."
