Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-SNS3","OpenClawObservability/AlarmTopic/Resource","Suppressed","This SNS topic is used exclusively for CloudWatch alarm notifications. Publishers are AWS services (CloudWatch Alarms) which use internal AWS service endpoints. SSL enforcement via topic policy is not required for service-to-service communication.","Error","The SNS Topic does not require publishers to use SSL."
"AwsSolutions-IAM4","OpenClawObservability/BedrockLoggingRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawObservability/BedrockLoggingRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawObservability/BedrockLoggingRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawObservability/EnableBedrockInvocationLogging/CustomResourcePolicy/Resource","Suppressed","[Resource::*] Bedrock PutModelInvocationLoggingConfiguration is an account-level API that does not support resource-level ARNs; wildcard is required.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","OpenClawObservability/AWS679f53fac002430cb0da5b7982bd2287/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] CDK AwsCustomResource singleton Lambda uses AWSLambdaBasicExecutionRole. This is managed by CDK and cannot be customised.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawObservability/AWS679f53fac002430cb0da5b7982bd2287/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","OpenClawObservability/AWS679f53fac002430cb0da5b7982bd2287/Resource","Suppressed","Lambda runtime is managed by CDK AwsCustomResource singleton and cannot be overridden.","Error","The non-container Lambda function is not configured to use the latest runtime version."
